matrix_id	dimension	current_candidates	bracelet_candidates	current_ess	bracelet_ess	content_match	byte_identical
8	5	5	5	5	5	yes	yes
10	6	9	9	9	9	yes	no
11	7	14	14	14	14	yes	yes
12	7	14	14	14	14	yes	yes
13	8	20	20	20	20	yes	no
14	9	30	30	30	30	yes	no
15	10	50	50	50	50	yes	no
16	11	66	66	66	66	yes	no
17	11	55	55	55	55	yes	no
18	12	105	105	105	105	yes	no
19	12	61	61	12	12	yes	no
20	12	36	36	24	24	yes	no
21	12	105	105	105	105	yes	no
22	13	143	143	143	143	yes	no
23	14	224	224	224	224	yes	no
24	15	360	360	360	360	yes	no
25	16	512	512	512	512	yes	no
26	17	612	612	493	493	yes	no
27	18	1152	1152	1152	1152	yes	no
28	19	1843	1843	1444	1444	yes	no
29	19	76	76	19	19	yes	yes
30	20	2560	2560	2560	2560	yes	no
31	21	4410	4410	4410	4410	yes	no
32	22	6336	6336	5632	5632	yes	no
33	23	3703	3703	2507	2507	yes	no
34	24	15120	15120	15120	15120	yes	no
35	18	258	258	258	258	yes	no
