case	dimension	candidates	ess	content_match
1	2	1	1	yes
2	2	1	1	yes
3	2	1	1	yes
4	2	2	2	yes
5	2	2	2	yes
6	2	2	2	yes
7	2	2	2	yes
8	2	2	0	yes
1	3	3	3	yes
2	3	3	0	yes
3	3	1	1	yes
4	3	1	1	yes
5	3	1	1	yes
6	3	1	1	yes
7	3	3	3	yes
8	3	3	3	yes
1	4	4	4	yes
2	4	4	4	yes
3	4	4	4	yes
4	4	4	4	yes
5	4	4	0	yes
6	4	1	1	yes
7	4	1	1	yes
8	4	1	1	yes
1	5	1	1	yes
2	5	1	1	yes
3	5	5	5	yes
4	5	5	5	yes
5	5	5	5	yes
6	5	5	5	yes
7	5	5	0	yes
8	5	1	1	yes
1	6	6	0	yes
2	6	8	8	yes
3	6	6	6	yes
4	6	6	0	yes
5	6	1	1	yes
6	6	3	3	yes
7	6	3	3	yes
8	6	6	6	yes
1	7	7	7	yes
2	7	7	7	yes
3	7	7	7	yes
4	7	7	0	yes
5	7	7	7	yes
6	7	7	7	yes
7	7	7	7	yes
8	7	7	7	yes
1	8	8	8	yes
2	8	8	8	yes
3	8	8	8	yes
4	8	8	8	yes
5	8	12	4	yes
6	8	4	4	yes
7	8	4	4	yes
8	8	8	8	yes
1	9	18	9	yes
2	9	9	9	yes
3	9	9	9	yes
4	9	9	9	yes
5	9	12	3	yes
6	9	12	3	yes
7	9	9	9	yes
8	9	9	9	yes
1	10	20	10	yes
2	10	20	10	yes
3	10	10	0	yes
4	10	10	10	yes
5	10	15	10	yes
6	10	15	10	yes
7	10	10	0	yes
8	10	15	15	yes
1	11	11	11	yes
2	11	11	11	yes
3	11	11	11	yes
4	11	22	11	yes
5	11	11	11	yes
6	11	11	11	yes
7	11	22	11	yes
8	11	22	11	yes
1	12	18	12	yes
2	12	21	12	yes
3	12	18	18	yes
4	12	24	24	yes
5	12	24	0	yes
6	12	16	4	yes
7	12	16	4	yes
8	12	28	4	yes
1	13	26	13	yes
2	13	13	13	yes
3	13	13	13	yes
4	13	26	13	yes
5	13	39	26	yes
6	13	52	13	yes
7	13	13	13	yes
8	13	13	13	yes
1	14	28	28	yes
2	14	28	28	yes
3	14	35	14	yes
4	14	14	14	yes
5	14	14	14	yes
6	14	49	21	yes
7	14	35	0	yes
8	14	35	21	yes
