dimension	samples	repetitions_per_sample	subsets	eager_median_ns	gosper_median_ns	dfs_median_ns	gosper_vs_eager_percent	dfs_vs_eager_percent	checksum
3	100	44286	7	72.958520	7.010782	20.426410	-90.390729	-72.002707	28
4	100	20667	15	93.593240	18.229545	49.432646	-80.522584	-47.183529	120
5	100	10000	31	124.475000	49.693750	107.416600	-60.077325	-13.704278	496
6	100	4921	63	173.499594	131.837127	222.194066	-24.013006	28.066044	2016
7	100	2441	127	252.372593	353.509422	457.846784	40.074411	81.416999	8128
8	100	1216	255	401.710115	989.394737	932.805099	146.295699	132.208516	32640
9	100	607	511	704.214992	2211.764415	1882.927512	214.075168	167.379640	130816
10	100	304	1023	1355.126645	4447.708882	3796.531250	228.213522	180.160623	523776
11	100	152	2047	2633.773026	9053.726974	7577.023026	243.755019	187.687016	2096128
12	100	76	4095	5247.526316	18143.092105	15134.309211	245.745614	188.408448	8386560
13	100	38	8191	10674.355263	36454.486842	30316.881579	241.514648	184.016044	33550336
14	100	19	16383	21848.684211	72794.947368	60546.052632	233.177718	177.115327	134209536
15	100	10	32767	44337.500000	145410.400000	121027.100000	227.962560	172.967804	536854528
16	100	5	65535	90000.000000	291191.600000	241666.600000	223.546222	168.518444	2147450880
17	100	3	131071	181229.000000	582659.666667	484444.333333	221.504652	167.310603	8589869056
18	100	2	262143	396468.750000	1166895.500000	971020.250000	194.322188	144.917222	34359607296
19	100	1	524287	874437.000000	2334374.500000	1943708.000000	166.957425	122.281079	137438691328
20	100	1	1048575	1862646.000000	4742332.000000	3918978.500000	154.601894	110.398460	549755289600
21	100	1	2097151	3862895.000000	9891560.000000	7934248.000000	156.065982	105.396419	2199022206976
22	100	1	4194303	8135498.000000	19478370.500000	16276516.500000	139.424440	100.067857	8796090925056
23	100	1	8388607	16334162.500000	39001823.500000	32469721.000000	138.774553	98.784119	35184367894528
24	100	1	16777215	33031554.500000	77817501.500000	64899047.000000	135.585345	96.475909	140737479966720
25	100	1	33554431	68567837.000000	153740024.500000	128442822.500000	124.215946	87.322261	562949936644096
