dimension	subsets	eager_ns	gosper_ns	dfs_ns	gosper_vs_eager_percent	dfs_vs_eager_percent	checksum
2	3	208	41	83	-80.288462	-60.096154	6
3	7	167	84	83	-49.700599	-50.299401	28
4	15	208	83	83	-60.096154	-60.096154	120
5	31	250	125	250	-50.000000	0.000000	496
6	63	333	291	333	-12.612613	0.000000	2016
7	127	375	666	625	77.600000	66.666667	8128
8	255	583	1375	1167	135.849057	100.171527	32640
9	511	917	2584	2250	181.788441	145.365322	130816
10	1023	1958	5167	4417	163.891726	125.587334	523776
11	2047	3417	10209	8500	198.770852	148.756219	2096128
12	4095	6417	20250	17083	215.568022	166.214742	8386560
13	8191	12041	40417	32125	235.661490	166.796778	33550336
14	16383	23500	71250	59791	203.191489	154.429787	134209536
15	32767	47458	142292	119291	199.827216	151.361204	536854528
16	65535	99625	289292	328500	190.380928	229.736512	2147450880
17	131071	187917	571708	477458	204.234316	154.079195	8589869056
18	262143	437083	1142416	957541	161.372783	119.075324	34359607296
19	524287	1002791	2398624	1960333	139.194807	95.487694	137438691328
20	1048575	2300916	4573332	3925874	98.761363	70.622222	549755289600
21	2097151	4249582	9137498	8420623	115.021101	98.151795	2199022206976
22	4194303	8317748	19103704	15999413	129.673993	92.352702	8796090925056
23	8388607	16551704	39193573	32110409	136.794792	94.000624	35184367894528
24	16777215	33241325	77884897	64934567	134.301421	95.342896	140737479966720
25	33554431	69376233	157732294	129309843	127.357824	86.389254	562949936644096
26	67108863	140674590	305683258	257484687	117.298133	83.035676	2251799780130816
27	134217727	275756015	617294931	512549332	123.855473	85.870590	9007199187632128
28	268435455	548902447	1229734946	1032149370	124.035246	88.038763	36028796884746240
29	536870911	1256224523	2499615717	2069081781	98.978421	64.706368	144115187807420416
30	1073741823	2676570089	5041550505	4191859049	88.358621	56.613087	576460751766552576
