dimension	bracelets	fkm_ns	direct_ns	change_percent
2	2	70.046272382075074	126.4930704527863	80.585014
3	3	96.789676842476453	145.9507974412785	50.791698
4	5	160.65258857455956	104.1014692956161	-35.200876
5	7	233.31064774134069	155.83431150569029	-33.207373
6	12	394.81184251974446	329.1691517515664	-16.626323
7	17	629.69717095202532	603.63637971955961	-4.138623
8	29	1126.7572760469272	1204.3967138196399	6.890520
9	45	1972.5678045081902	2273.2148703512062	15.241406
10	77	3519.1627599671433	4175.1039114043351	18.639125
11	125	6320.5481598095494	7749.4901836203062	22.607881
12	223	11693.860867178924	13973.623256924546	19.495378
13	379	21453.496705834408	25851.086375105129	20.498242
14	686	41970.539884135469	49832.392678600227	18.731836
15	1223	138196.66340508807	94894.438188109474	-31.333770
16	2249	175073.15532381998	185968.53565596082	6.223330
17	4111	358402.31463146314	377499.06347438751	5.328300
18	7684	721959.60233918123	741453.11612903222	2.700084
19	14309	1419752.9207317072	1384218.2952755906	-2.502874
20	27011	2682010.589147287	2538332.9496402876	-5.357087
21	50963	5131472.0579710146	4642459.3243243247	-9.529677
22	96908	9894982.1818181816	8556444.3953488376	-13.527440
23	184409	19252769.454545453	15739138.423076924	-18.250003
24	352697	37712679.272727273	29300652.785714287	-22.305566
