dimension	bracelets	fkm_ns	direct_ns	v3_ns	v3_vs_fkm_percent	v3_vs_direct_percent
2	2	70.046272382075074	126.4930704527863	239.2390062172864	241.544237	89.132105
3	3	96.789676842476453	145.9507974412785	57.469629988779644	-40.624215	-60.623970
4	5	160.65258857455956	104.1014692956161	149.2636774531756	-7.089155	43.382873
5	7	233.31064774134069	155.83431150569029	150.9350956697765	-35.307241	-3.143862
6	12	394.81184251974446	329.1691517515664	568.5148415158136	43.996400	72.712066
7	17	629.69717095202532	603.63637971955961	589.87668308883462	-6.323752	-2.279468
8	29	1126.7572760469272	1204.3967138196399	699.91972968620314	-37.881943	-41.886280
9	45	1972.5678045081902	2273.2148703512062	1155.7880573373996	-41.406929	-49.156234
10	77	3519.1627599671433	4175.1039114043351	1763.8868611461455	-49.877656	-57.752264
11	125	6320.5481598095494	7749.4901836203062	2686.1521439061826	-57.501279	-65.337692
12	223	11693.860867178924	13973.623256924546	4609.0153854193886	-60.586025	-67.016319
13	379	21453.496705834408	25851.086375105129	8277.887470997679	-61.414740	-67.978570
14	686	41970.539884135469	49832.392678600227	14712.339351081531	-64.946033	-70.476354
15	1223	138196.66340508807	94894.438188109474	27043.023278183919	-80.431493	-71.501993
16	2249	175073.15532381998	185968.53565596082	51306.352668213454	-70.694335	-72.411272
17	4111	358402.31463146314	377499.06347438751	165040.74818108327	-53.950981	-56.280488
18	7684	721959.60233918123	741453.11612903222	322802.53939886269	-55.288005	-56.463527
19	14309	1419752.9207317072	1384218.2952755906	682770.49798387091	-51.909203	-50.674652
20	27011	2682010.589147287	2538332.9496402876	1293186.7757352942	-51.782935	-49.053698
21	50963	5131472.0579710146	4642459.3243243247	2293634.452991453	-55.302603	-50.594409
22	96908	9894982.1818181816	8556444.3953488376	4089495.9545454546	-58.671012	-52.205662
23	184409	19252769.454545453	15739138.423076924	7321643.0943396222	-61.970962	-53.481297
24	352697	37712679.272727273	29300652.785714287	13183846.416666666	-65.041342	-55.004940
