dimension	bracelets	control_ns	optimized_ns	change_percent	speedup
3	3	234.0699524538694	178.34203580531801	-23.808232	1.312478
4	5	96.065783343257849	562.65306640839765	485.695600	0.170737
5	7	605.98459082213594	529.66666675327519	-12.594037	1.144087
6	12	687.27164803653409	671.36687381988065	-2.314190	1.023690
7	17	539.5804507737821	445.90708526931616	-17.360408	1.210074
8	29	692.15756211986741	494.72539547373077	-28.524165	1.399074
9	45	1253.2880252862403	1133.3493054418427	-9.569925	1.105827
10	77	1568.5537193300588	1683.1012631137589	7.302749	0.931943
11	125	2597.5761369216298	2445.9238013348072	-5.838225	1.062002
12	223	4584.8535305889081	3993.5520276216912	-12.896846	1.148064
13	379	8040.2120640193261	7322.9647033533965	-8.920752	1.097945
14	686	14736.452704407049	13200.409519884608	-10.423426	1.116363
15	1223	27049.01909051909	24108.56408891255	-10.870838	1.121967
16	2249	51528.279240661359	46414.305498981666	-9.924596	1.110181
17	4111	153358.18582677166	134558.93118031527	-12.258397	1.139710
18	7684	317992.06001622061	296653.13557929336	-6.710521	1.071932
19	14309	695417.56747967482	625303.20101351349	-10.082340	1.112129
20	27011	1315249.2972972973	1216218.7195571957	-7.529415	1.081425
21	50963	2326199.448979592	2151039.0963855423	-7.529894	1.081431
22	96908	4145503.7558139535	3795902.5816326533	-8.433262	1.092100
23	184409	7402602.5531914895	6753761.7377049178	-8.765036	1.096071
24	352697	13363060.741935484	12157163.457142858	-9.024110	1.099192
30	17920859	507359976	466330317	-8.086893	1.087984
