matrix_id	dimension	circular	visited_supports	candidate_representatives	current_samples	current_ns	old_samples	old_ns	fflu_samples	fflu_ns	hybrid_samples	hybrid_ns	ffldlt_samples	ffldlt_ns	rational_samples	rational_ns
67	2	1	1	1	86022	334	139529	458	33150	708	198334	875	79473	417	413737	375
68	3	1	1	1	86957	459	134826	542	32087	834	196735	1042	73617	625	406670	458
1	2	0	3	1	53571	625	187512	917	28881	1333	149076	1625	42630	584	92662	625
2	2	0	2	2	76191	500	115943	833	31916	1042	179084	1375	65755	584	489956	500
41	2	0	3	1	60761	584	195122	1042	30535	1292	154847	1583	39409	709	92670	625
42	2	0	2	1	57007	375	126985	625	32215	917	220216	1083	74767	458	452694	416
44	2	0	3	1	72728	583	137932	1042	28812	1292	195122	1583	65755	584	72291	625
43	2	0	2	2	93748	458	115943	666	32476	959	176461	1250	75002	500	413737	458
69	4	1	3	1	58824	1000	97963	1500	26201	1875	126311	2291	43321	1125	86022	1208
4	3	0	4	2	57554	875	98766	1583	28812	1750	146328	2333	47620	834	91601	917
3	3	0	6	1	45198	1250	80809	2625	26667	2500	138735	2875	54298	1125	86334	1459
39	2	0	3	1	48584	1000	42705	4750	28572	2459	109099	2917	58966	875	93389	1042
38	2	0	3	1	49896	1167	97963	1917	28674	2125	115394	2750	69770	917	95621	1125
6	3	0	6	2	51175	1292	92311	2292	27181	2625	124348	3291	50739	1208	84804	1542
5	3	0	6	2	43165	1333	138716	1875	27940	2417	117083	3042	59702	1167	84211	1416
8	5	1	5	1	45115	2167	101266	3208	25397	3291	96386	3959	37559	2000	58252	2333
10	6	1	5	2	49898	2541	94118	3459	24692	3667	87276	4667	33520	2416	59848	2750
7	4	0	5	3	64000	1208	71220	1916	29269	2292	122444	3167	55427	1042	64000	1292
9	5	0	16	6	25237	4792	70383	8083	24341	7167	64173	9708	33287	3750	56339	5459
11	7	1	9	2	22264	5209	61380	7458	21681	6542	62993	8375	30458	4208	45978	5375
37	4	0	8	2	48389	2042	91601	3917	27028	3542	97561	4417	44036	1667	77925	2292
36	4	0	8	2	62665	2125	91955	4042	25807	3542	95239	4458	43244	1625	74997	2334
72	7	0	23	4	36255	7917	37559	14625	19003	11541	50741	13500	30458	5208	34189	8583
14	9	1	16	3	28369	11666	33196	16792	17805	13000	37384	16292	28504	8708	30152	11667
71	6	0	37	2	22202	13375	23055	26708	16184	18125	37915	19208	31747	8458	33709	13834
13	8	1	20	3	18943	16500	23099	25416	17379	15833	33013	20125	30419	9708	28572	15291
20	12	1	15	3	20426	15125	28811	20041	16961	14833	34885	17583	22141	10792	27555	14833
17	11	1	27	4	2225	31417	13080	41625	13009	27833	19770	34250	2106	18750	13453	28208
80	9	1	35	3	12699	40375	9064	64667	12140	31042	19885	37833	23302	19916	16054	36041
15	10	1	40	4	8581	46208	8949	77500	10895	36042	17022	43542	18883	22708	14761	37834
73	8	0	90	3	10205	55334	6496	119209	8665	55000	14679	56833	14185	27916	12733	48625
51	20	0	20	20	20017	21792	29593	25083	19003	22084	19434	43000	18307	9416	41522	21792
16	11	1	83	5	4766	131500	4464	184334	6610	87125	8200	99666	8131	57375	6805	104874
81	10	1	66	4	5083	143125	1619	227167	7545	72625	8932	89250	13629	43458	7146	94000
49	16	0	263	8	4576	183666	3801	240750	4174	164083	5048	170833	5386	103000	4574	179625
18	12	1	80	8	2592	162500	1615	234791	6131	91792	7163	112208	7773	54583	6576	104041
19	12	1	103	7	4066	177084	2773	309958	5499	104417	6207	127542	6875	64584	5539	127000
