matrix_id,dimension,expected_ess,default_median_ms,exact_median_ms,exact_over_default,change_percent
1,2,1,0.001322000,0.001544000,1.167927383,16.793
2,2,2,0.001382000,0.001280000,0.926193922,-7.381
3,3,1,0.002098000,0.003779000,1.801239276,80.124
4,3,1,0.002879000,0.003156000,1.096213963,9.621
5,3,0,0.002908000,0.003376000,1.160935351,16.094
6,3,1,0.003048000,0.003892000,1.276902887,27.690
7,4,0,0.005845000,0.006039000,1.033190761,3.319
8,5,5,0.004026000,0.005549000,1.378291108,37.829
9,5,6,0.008954000,0.011837000,1.321979004,32.198
10,6,9,0.013323000,0.016854000,1.265030399,26.503
11,7,14,0.009456000,0.013609000,1.439192047,43.919
12,7,14,0.009160000,0.013502000,1.474017467,47.402
13,8,20,0.084019000,0.170576000,2.030207453,103.021
14,9,30,0.078442000,0.118621000,1.512212845,51.221
15,10,50,0.252864000,1.046686000,4.139323905,313.932
16,11,66,0.071254000,0.330102000,4.632750442,363.275
17,11,55,0.040453000,0.083941000,2.075025338,107.503
18,12,105,0.751408000,3.429127000,4.563601931,356.360
19,12,12,0.650215000,3.556940000,5.470405943,447.041
20,12,24,0.163210000,0.259677000,1.591060597,59.106
21,12,105,1.660420000,8.452854000,5.090792691,409.079
22,13,143,0.188481000,1.521428000,8.072049703,707.205
23,14,224,1.601033000,26.874260000,16.785575313,1578.558
24,15,360,3.919407000,102.980248000,26.274446109,2527.445
25,16,512,12.270484000,177.212994000,14.442217112,1344.222
26,17,493,6.623400000,274.112113000,41.385408250,4038.541
27,18,1152,62.139109000,1776.944466000,28.596233428,2759.623
28,19,1444,10.638315000,289.801149000,27.241264148,2624.126
29,19,19,11.059092000,245.926186000,22.237466331,2123.747
30,20,2560,339.141882000,8021.194004000,23.651440384,2265.144
31,21,4410,728.249164000,18890.924061000,25.940193267,2494.019
32,22,5632,3510.814947000,53725.951373000,15.302985826,1430.299
33,23,2507,313.475683000,73177.706448000,233.439818195,23243.982
35,18,258,124.640873500,14594.692096000,117.093949089,11609.395
