representative	equivalent_tags	commit	status
v0.1	v0.1,v0.11	5c1de6ca53a50f76d78dda3bdc03cfdf450f7180	ok
v0.12	v0.12,v0.13,v0.14	a549ff6a361193c1fc23f58785107579602965de	ok
v0.15	v0.15,v0.16	1597781d3c6a908cfc5f08c2e44d4609ee0ed168	ok
v0.17	v0.17	a06a3fc5acee7e9da76d22b4706c3162682ee1d3	failed
v0.18	v0.18,v0.19,v0.20	bbad40163e93565afdb8ae54359e3f6060ca9a34	failed
v0.21	v0.21	30fd29f7d30e1a09170641bf144d04079c92c748	failed
v0.22	v0.22	233ba8f8d9d2f2f63b01f1ec89649ea6dcc1f666	failed
v0.23	v0.23	ba1b1f59f9589177b10d67d01b9f845ab85f76f1	failed
v0.24	v0.24	240dadeedab7dddf5ac2e3f2527d1476ca838339	failed
v0.25	v0.25,v0.26	bec36f0dca46b0d2af5e0b9b33bf1557eaa44981	failed
v0.27	v0.27	0b499c10afec82291d5fac3e17d7ce490dae10bf	failed
v0.29	v0.29	72e08a2314b5eb903883956dea59718ba9d32cf7	failed
v0.30	v0.30	7584bc267904007c1b4b59596e98f84e65d6ab45	failed
v0.31	v0.31	e8416cb9ab506563258206e150b65c404ec12ecb	failed
v0.32	v0.32	6ceb5f111da3370b4c8f3ca2452a18c7bceb6f1c	failed
v0.33	v0.33	81a68493d262df65ea1abe51a5aa6d81c1054325	ok
