matrix_id	dimension	is_cs	status	sha256	output_lines
1	2	false	identical	3135738295de0b769098fe1c9bb6a3f6d603aeec31e26ce02e5704d5e0e3c440	3
2	2	false	identical	5a3fc694847df6fa6478ff0a7bf11e126076bde2fee9b03a49a4a05e6cecf063	4
3	3	false	identical	688597357cca0c01781ddf6c7330190f87896db5ebcab89d820ff67ced7c2098	3
4	3	false	identical	73157d7cf9b89700c93d4251e52d846e5ecf4fbb8da512a53650667fbb655a21	4
5	3	false	identical	e8aca462f402ff6ae064538030e448b785745d0eafb29236aed1a7ee1b70a694	4
6	3	false	identical	411f9da80a72faf7aaba3bc1d17714cd01d6a0f4097fb71844f97b09ed14d901	4
7	4	false	identical	656c850a58c441da08f8f9f9937e86e6e29f3bf56f3c53700907febcd7687262	5
8	5	true	identical	3220d6eb713c71959226e568d27664e45079065ee7236e65b94893f3ec27e765	7
9	5	false	identical	5cc8cd29890a9a3cf9a542cb236d902bf3a0626117c67128a99987c24e134e07	8
10	6	true	identical	cff0446df14c84c7bbff58eb22896f2508cd9b18abf2b4f02ad6d6ef2aa4fc5b	11
11	7	true	identical	b3538309cecb0151d0d196063e66310d3a4d3acc1381fa64adb3e41c4f8d6099	16
12	7	true	identical	cd737ef9ece5a85d56f326c95704f4dee7eed760691de29887e1e1ee431a9f61	16
13	8	true	identical	f2bed4b5f09ca8ac008d13da296ed76cae26caee3954b640e3ec703916f939dd	22
14	9	true	identical	726d0ff4b2aca6f94e53558b950531bd053cca5343baaa04804cc24dd30c5499	32
15	10	true	identical	468feb29ea633b82220f0fa300f7209dca7f43361907ff000babe0d73c2e02f2	52
16	11	true	identical	6c632cfe607fa23be47b372f928aa08515439cbdccfb73827c730cddd516552f	68
17	11	true	identical	540c075f8798a3e9bb032e8253f4fba1ffbdd1fad2547f3c63253bdb6d3b4f5b	57
18	12	true	identical	93ab4237da6f631c1bac47fd4239acb8a26fe4947c2345d48a876cb3bef79c88	107
19	12	true	identical	39e594e4af994b9ac8650c8fdce8ac0f3d7b017197a601dfcc759902f008586e	63
20	12	true	identical	58e144c8b1546da0bdb50c5849d34f993b4f41de1bb4d5ab6238f90931723263	38
21	12	true	identical	00d39567b3afadd6c1197a9a207c6927e96b68d88325e3367924db2ac8f683f2	107
22	13	true	identical	63c160d29eb2602ed6b0d4b4a4fa566739b70146b2ed09b1e10a8b4570c789a0	145
23	14	true	identical	3fb2b7c82b3564c6d80acdcbf09ed677338962d408bab62f0c031f974e11aedb	226
24	15	true	identical	5ee91bcd1383360b3dd061b5c5e419b24678658496d817318aee428985c63621	362
25	16	true	identical	98ba4026e0f01f0b576d47863b59fc02381f68ab53e0b2ea4b7552a94c72a92a	514
26	17	true	identical	00d627b8774f8027ff17fee80eda63bf21f782d803b0c9d0f5233f3ab83f5d58	614
27	18	true	identical	2513553a5a553fb19d1ee527eb822e333b2a50f44daf0cf1f29400ff8ee47180	1154
28	19	true	identical	3d57aeb152a15e951deacb25589fe4fdb7bc77b672d39184a47621d1d0dd1515	1845
29	19	true	identical	57b3e3e177e1fac18eca8632175f660a823e9926f7f70656ad90d82e58f65f97	78
30	20	true	identical	4e37f0d0ebb816280ac3e0bf843693b9333836cab1f7624a4e8af2e1f450b371	2562
31	21	true	identical	a7495fc708bbd2f99df93d48a7fa8cc2dd299c89f1b28c7ba99780aa67c2c97d	4412
32	22	true	identical	07892171ba9a560da5dd530b12bb1aa8c0b649159d36c0246ea7c2296f84c8bc	6338
33	23	true	identical	6610fc73fc3c67cfe73af6cd9884bd2d9a6be3f60f70358e1c4ed326573aed36	3705
34	24	true	identical	c2973f6f630d4948606cfed9b94a20748a3055627611060f0bb1221340856171	15122
35	18	true	identical	6b7c73a60c8b68c4386dea1fbf3fb7914329d3afef2e350bdc5c836b01be5e7c	260
36	4	false	identical	b667d1e121ee4082581ab77a788391042872755af909d4c54a0ec5b917a50180	4
37	4	false	identical	b667d1e121ee4082581ab77a788391042872755af909d4c54a0ec5b917a50180	4
38	2	false	identical	38840afe936e3bb0324db9482c9041b4d80493ab8fd18aeeac0f1b5ce001813d	3
39	2	false	identical	ba20bb52dd77c603da4364583fa9de0e2d5d253ce12e029f7dca446c22c1e275	3
41	2	false	identical	cadec8d1aa3f82d2f3756ed11c7098ff657e1b073ce16c1d1b5f7e5615263541	3
42	2	false	identical	76a734c3ef6417ed1525e34f18e2c452dc009ea26886bd4c51e4b2332b10b41c	3
43	2	false	identical	44b07d2ae9713d77e3d85318b37f741d7069ff982d30a5a118d72ff98549c4cf	4
44	2	false	identical	e21f57a322bd182ea78f0c0c6e270ab8950f43d5380a0d77bfedc85fc307d2a1	3
48	15	false	identical	25530537b375c34d931817d0debd99dd4ce9b69b3f0f7571ec55488e9f8d35af	3
49	16	false	identical	fa1516b4796abff60450830061508995106dd0430025b072aef21dba2f2de6f8	10
50	18	false	identical	a55ff0106abf0ababd92b1ca9cb69993b1bf3b4aa6d84ef1f510da218f348ba7	70
51	20	false	identical	9ab611d1f97fe678e0ad0f52ab46525393451ff428a57d1d4cf1321f387fd11c	22
52	21	false	identical	b9675214e349170aa6b9e2692daecf23aeab56d49dd8cf3b256e5267b561a51d	3
53	23	false	identical	0bc9bb2ce532122c201d79e28283a3a536f0ac8b2616ae99b91f2357648221ce	14
54	24	false	identical	0d9e855ba5d8e97e8a09d22a1fb33610b107bebc487e99cab2549128398685ff	25
55	20	false	identical	028a32f81511837799aa98e7b8bcb1c3ae3eac51b3b10d18c0e41097e2406722	3
