matrix_id	dimension	current_ns	gosper_byte_ns	dfs_ns	gosper_change_percent	dfs_change_percent	best	candidate_count	ess_count
1	2	1426.9042280535286	1396.9694724096953	1449.9247218460669	-2.097881	1.613317	gosper_byte	1	1
2	2	1532.3163459190052	1484.2726738444685	1562.8141026179064	-3.135362	1.990304	gosper_byte	2	2
3	3	2445.3384012976826	2399.725135832176	2453.7669489004779	-1.865315	0.344678	gosper_byte	1	1
4	3	3054.5234233809501	3022.0488619566017	3067.0656054027977	-1.063163	0.410610	gosper_byte	2	1
5	3	3215.6180600561675	3195.3456843563326	3270.001244157213	-0.630435	1.691220	gosper_byte	2	0
6	3	3316.9928438440293	3274.6002017223991	3341.8793327457911	-1.278044	0.750273	gosper_byte	2	1
7	4	6510.9474241121616	6453.6770150029224	6516.4481941977501	-0.879602	0.084485	gosper_byte	3	0
9	5	9739.5534936610857	9598.8974259537536	9825.6433740780503	-1.444174	0.883920	gosper_byte	6	6
36	4	9558.469996565429	9440.3774574363633	9486.1410159947573	-1.235475	-0.756700	gosper_byte	2	0
37	4	9199.4817450993942	9188.7324901590855	9235.8663825692493	-0.116846	0.395507	gosper_byte	2	0
38	2	2885.2408796237446	2887.3647547034916	2926.7425737788903	0.073612	1.438413	current	1	1
39	2	4409.5691690304702	4333.3105503423785	4369.6326012234194	-1.729389	-0.905680	gosper_byte	1	1
41	2	1429.0994720690426	1397.0758336688752	1442.5298843370749	-2.240826	0.939781	gosper_byte	1	1
42	2	1246.2438109884727	1204.866267458535	1247.3102674646768	-3.320180	0.085574	gosper_byte	1	1
43	2	1314.430651407308	1282.8930449003658	1338.1997397430337	-2.399336	1.808318	gosper_byte	2	0
44	2	1425.1568944632995	1395.0461132368266	1440.993232175686	-2.112805	1.111200	gosper_byte	1	1
48	15	87256697.400000006	87586855.599999994	87439174.5	0.378376	0.209127	current	1	1
49	16	383215.55232030142	399106.18606045481	227319.63451513543	4.146657	-40.681000	dfs	8	0
50	18	98170715.325000003	98224455.924999997	95800526.625	0.054742	-2.414354	dfs	68	68
51	20	4257995.6621162109	1436457.1831019223	1384051.1117376029	-66.264475	-67.495244	dfs	20	1
52	21	812544532	821446174.75	834242196	1.095527	2.670335	current	1	1
53	23	66414097.761904761	70874092.083333343	44370270.01111111	6.715433	-33.191489	dfs	12	7
54	24	291950462.75	303039543.5	249544128.25	3.798275	-14.525181	dfs	23	11
