matrix_id	dimension	dfs_ns	candidate_count	ess_count
1	2	1449.9247218460669	1	1
2	2	1562.8141026179064	2	2
3	3	2453.7669489004779	1	1
4	3	3067.0656054027977	2	1
5	3	3270.001244157213	2	0
6	3	3341.8793327457911	2	1
7	4	6516.4481941977501	3	0
9	5	9825.6433740780503	6	6
36	4	9486.1410159947573	2	0
37	4	9235.8663825692493	2	0
38	2	2926.7425737788903	1	1
39	2	4369.6326012234194	1	1
41	2	1442.5298843370749	1	1
42	2	1247.3102674646768	1	1
43	2	1338.1997397430337	2	0
44	2	1440.993232175686	1	1
48	15	87340608	1	1
49	16	227271.82103027083	8	0
50	18	95897417.25	68	68
51	20	1339452.7335423199	20	1
52	21	834844550	1	1
53	23	44445003.222222224	12	7
54	24	249236451.5	23	11
