matrix_id	dimension	current_ns	candidate_scan_ns	change_percent	candidate_count	ess_count
1	2	1426.4729305304002	1379.2230009687755	-3.31236000	1	1
2	2	1547.6363353711663	1523.6026500079286	-1.55293000	2	2
3	3	2430.8533840478372	2396.491661689714	-1.41357000	1	1
4	3	3075.3536617262425	3019.5863484223414	-1.81336000	2	1
5	3	3225.5197831113946	3223.1679559245699	-0.07291310	2	0
6	3	3311.400068040266	3310.9039795278031	-0.01498120	2	1
7	4	6527.335154398028	6454.3418574032812	-1.11827000	3	0
9	5	9764.2582947105129	9780.0518376992313	0.16174900	6	6
36	4	9480.9639875929388	9606.4617554227389	1.32368000	2	0
37	4	9224.175945017183	9160.3712506326883	-0.69171200	2	0
38	2	2907.2361756823279	2870.4219749270137	-1.26630000	1	1
39	2	4439.7541566850878	4392.0891243097039	-1.07360000	1	1
41	2	1456.7209304726346	1410.8230398368437	-3.15077000	1	1
42	2	1265.8627105187588	1226.4912534058008	-3.11025000	1	1
43	2	1326.0056059145998	1334.0079263952164	0.60349100	2	0
44	2	1453.3095708922069	1404.2631909831368	-3.37481000	1	1
48	15	89296991.599999994	89408091.599999994	0.12441600	1	1
49	16	391740.1663602941	243798.26822323463	-37.76530000	8	0
50	18	100375811.40000001	100868336.2	0.49068100	68	68
51	20	4364032.4081632653	1473410.2508591064	-66.23740000	20	1
52	21	829124924.5	835824110	0.80798300	1	1
53	23	67640544.666666672	46278182.5	-31.58220000	12	7
54	24	298131152.5	261009628	-12.45140000	23	11
55	20	427264842	427327800	0.01473510	1	1
