matrix_id	dimension	current_ns	candidate_scan_ns	change_percent	candidate_count	ess_count	passes
1	2	1426.4729305304002	1379.2230009687755	-3.31236076	1	1	1
2	2	1547.6363353711663	1523.6026500079286	-1.55292848	2	2	1
3	3	2430.8533840478372	2396.491661689714	-1.41356622	1	1	1
4	3	3075.3536617262425	3019.5863484223414	-1.81336261	2	1	1
5	3	3225.5197831113946	3223.1679559245699	-0.07291312	2	0	1
6	3	3311.400068040266	3310.9039795278031	-0.01498123	2	1	1
7	4	6527.335154398028	6454.3418574032812	-1.11827101	3	0	1
9	5	9764.2582947105129	9780.0518376992313	0.16174852	6	6	1
36	4	9480.9639875929388	9606.4617554227389	1.32368152	2	0	1
37	4	9224.175945017183	9160.3712506326883	-0.69171159	2	0	1
38	2	2907.2361756823279	2870.4219749270137	-1.26629550	1	1	1
39	2	4439.7541566850878	4392.0891243097039	-1.07359621	1	1	1
40	1	438.98634727243376	402.56582525861472	-8.29650449	1	1	1
41	2	1456.7209304726346	1410.8230398368437	-3.15076757	1	1	1
42	2	1265.8627105187588	1226.4912534058008	-3.11024701	1	1	1
43	2	1326.0056059145998	1334.0079263952164	0.60349070	2	0	1
44	2	1453.3095708922069	1404.2631909831368	-3.37480609	1	1	1
48	15	88590191.900000006	88798179.400000006	0.23477486	1	1	2
49	16	388537.66310748586	240037.01062760409	-38.22040090	8	0	2
50	18	99149018.325000003	100112462.59999999	0.97171338	68	68	2
51	20	4345959.2857142854	1451369.7690106342	-66.60415633	20	1	2
52	21	823920896.25	830601216.25	0.81079628	1	1	2
53	23	67325343.5	45911895.200000003	-31.80592506	12	7	2
54	24	295925674.25	259021274.75	-12.47083397	23	11	2
55	20	426528905	427318300.25	0.18507427	1	1	2
