matrix_id	dimension	stream_ns	candidate_count	ess_count
1	2	1384.0891752746352	1	1
2	2	1531.6511454351303	2	2
3	3	2405.2124353796903	1	1
4	3	3002.4697180238149	2	1
5	3	3209.0505878841145	2	0
6	3	3320.9344597964664	2	1
7	4	6519.9753727456218	3	0
9	5	9800.6302125242582	6	6
36	4	9505.5067450911538	2	0
37	4	9268.2711998592549	2	0
38	2	2861.2476708191771	1	1
39	2	4347.8717146076879	1	1
40	1	387.02722973093012	1	1
41	2	1359.7121246647619	1	1
42	2	1177.4893249047504	1	1
43	2	1242.6253578053247	2	0
44	2	1357.8202637547356	1	1
48	15	87851798.200000003	1	1
49	16	239503.96036240092	8	0
50	18	101811676.5	68	68
51	20	1486474.2027491408	20	1
52	21	827088826	1	1
53	23	46358791.222222224	12	7
54	24	262633757.5	23	11
55	20	429174160	1	1
