matrix_id	dimension	production_ns	layer_scan_ns	stream_scan_ns	layer_vs_production_percent	stream_vs_production_percent	stream_vs_layer_percent	candidate_count	ess_count	passes
1	2	1426.4729305304002	1379.2230009687755	1384.0891752746352	-3.31236076	-2.97122745	0.35281998	1	1	1
2	2	1547.6363353711663	1523.6026500079286	1531.6511454351303	-1.55292848	-1.03287766	0.52825423	2	2	1
3	3	2430.8533840478372	2396.491661689714	2405.2124353796903	-1.41356622	-1.05481264	0.36389752	1	1	1
4	3	3075.3536617262425	3019.5863484223414	3002.4697180238149	-1.81336261	-2.36993698	-0.56685348	2	1	1
5	3	3225.5197831113946	3223.1679559245699	3209.0505878841145	-0.07291312	-0.51059043	-0.43799666	2	0	1
6	3	3311.400068040266	3310.9039795278031	3320.9344597964664	-0.01498123	0.28792630	0.30295292	2	1	1
7	4	6527.335154398028	6454.3418574032812	6519.9753727456218	-1.11827101	-0.11275324	1.01688936	3	0	1
9	5	9764.2582947105129	9780.0518376992313	9800.6302125242582	0.16174852	0.37250057	0.21041172	6	6	1
36	4	9480.9639875929388	9606.4617554227389	9505.5067450911538	1.32368152	0.25886352	-1.05090733	2	0	1
37	4	9224.175945017183	9160.3712506326883	9268.2711998592549	-0.69171159	0.47804005	1.17789930	2	0	1
38	2	2907.2361756823279	2870.4219749270137	2861.2476708191771	-1.26629550	-1.58186339	-0.31961517	1	1	1
39	2	4439.7541566850878	4392.0891243097039	4347.8717146076879	-1.07359621	-2.06953896	-1.00675119	1	1	1
40	1	438.98634727243376	402.56582525861472	387.02722973093012	-8.29650449	-11.83615797	-3.85988938	1	1	1
41	2	1456.7209304726346	1410.8230398368437	1359.7121246647619	-3.15076757	-6.65939534	-3.62277293	1	1	1
42	2	1265.8627105187588	1226.4912534058008	1177.4893249047504	-3.11024701	-6.98127726	-3.99529376	1	1	1
43	2	1326.0056059145998	1334.0079263952164	1242.6253578053247	0.60349070	-6.28807659	-6.85022681	2	0	1
44	2	1453.3095708922069	1404.2631909831368	1357.8202637547356	-3.37480609	-6.57047260	-3.30728082	1	1	1
48	15	88590191.900000006	88798179.400000006	88164714.800000012	0.23477486	-0.48027563	-0.71337566	1	1	2
49	16	388537.66310748586	240037.01062760409	240120.86373900069	-38.22040090	-38.19881918	0.03493341	8	0	2
50	18	99149018.325000003	100112462.59999999	101698108.75	0.97171338	2.57096890	1.58386489	68	68	2
51	20	4345959.2857142854	1451369.7690106342	1523103.2571716718	-66.60415633	-64.95357740	4.94246812	20	1	2
52	21	823920896.25	830601216.25	827546242.75	0.81079628	0.44001148	-0.36780268	1	1	2
53	23	67325343.5	45911895.200000003	46319513.444444448	-31.80592506	-31.20047959	0.88782709	12	7	2
54	24	295925674.25	259021274.75	262610528.25	-12.47083397	-11.25794377	1.38569834	23	11	2
55	20	426528905	427318300.25	429466160	0.18507427	0.68864149	0.50263697	1	1	2
