matrix_id	dimension	current_ns	gosper_byte_ns	adaptive_ns	gosper_change_percent	adaptive_change_percent	best	candidate_count	ess_count
1	2	1426.9042280535286	1396.9694724096953	1455.2926002059585	-2.097881	1.989508	gosper_byte	1	1
2	2	1532.3163459190052	1484.2726738444685	1552.9720107220267	-3.135362	1.348003	gosper_byte	2	2
3	3	2445.3384012976826	2399.725135832176	2472.099638633596	-1.865315	1.094378	gosper_byte	1	1
4	3	3054.5234233809501	3022.0488619566017	3088.8222467327391	-1.063163	1.122886	gosper_byte	2	1
5	3	3215.6180600561675	3195.3456843563326	3269.2817188983854	-0.630435	1.668844	gosper_byte	2	0
6	3	3316.9928438440293	3274.6002017223991	3356.8123749327833	-1.278044	1.200471	gosper_byte	2	1
7	4	6510.9474241121616	6453.6770150029224	6525.2428081782991	-0.879602	0.219559	gosper_byte	3	0
9	5	9739.5534936610857	9598.8974259537536	9700.1580827339858	-1.444174	-0.404489	gosper_byte	6	6
36	4	9558.469996565429	9440.3774574363633	9528.0511801599077	-1.235475	-0.318239	gosper_byte	2	0
37	4	9215.0179670850102	9189.6835511091376	12238.534273582045	-0.274925	32.810748	gosper_byte	2	0
38	2	2885.2408796237446	2887.3647547034916	2940.6970888030887	0.073612	1.922065	current	1	1
39	2	4409.5691690304702	4333.3105503423785	4389.9128029002095	-1.729389	-0.445766	gosper_byte	1	1
41	2	1429.0994720690426	1397.0758336688752	1452.279777064334	-2.240826	1.622022	gosper_byte	1	1
42	2	1246.2438109884727	1204.866267458535	1265.9560870935054	-3.320180	1.581735	gosper_byte	1	1
43	2	1314.430651407308	1282.8930449003658	1356.298699537931	-2.399336	3.185261	gosper_byte	2	0
44	2	1425.1568944632995	1395.0461132368266	1452.9605448811469	-2.112805	1.950919	gosper_byte	1	1
48	15	87336159.799999997	87688859.799999997	87531951.599999994	0.403842	0.224182	current	1	1
49	16	383076.53500897664	399157.13051643193	385714.43992773263	4.197750	0.688610	current	8	0
50	18	98330765.25	98237213.25	97722307	-0.095140	-0.618787	adaptive	68	68
51	20	4285384.3737373734	1436976.6187290971	1434444.9866220737	-66.467964	-66.527040	adaptive	20	1
52	21	812141053	822223966.5	821001466.5	1.241522	1.090994	current	1	1
53	23	66489261.857142858	70892828.166666672	44320183.899999999	6.622974	-33.342343	adaptive	12	7
54	24	292325796	302963627	248901141.5	3.639033	-14.854883	adaptive	23	11
