matrix_id	dimension	current_ns	gosper_byte_ns	adaptive_ns	gosper_change_percent	adaptive_change_percent	best	candidate_count	ess_count
1	2	1426.9042280535286	1396.9694724096953	1455.2926002059585	-2.097881	1.989508	gosper_byte	1	1
2	2	1532.3163459190052	1484.2726738444685	1552.9720107220267	-3.135362	1.348003	gosper_byte	2	2
3	3	2445.3384012976826	2399.725135832176	2472.099638633596	-1.865315	1.094378	gosper_byte	1	1
4	3	3054.5234233809501	3022.0488619566017	3088.8222467327391	-1.063163	1.122886	gosper_byte	2	1
5	3	3215.6180600561675	3195.3456843563326	3269.2817188983854	-0.630435	1.668844	gosper_byte	2	0
6	3	3316.9928438440293	3274.6002017223991	3356.8123749327833	-1.278044	1.200471	gosper_byte	2	1
7	4	6510.9474241121616	6453.6770150029224	6525.2428081782991	-0.879602	0.219559	gosper_byte	3	0
9	5	9739.5534936610857	9598.8974259537536	9700.1580827339858	-1.444174	-0.404489	gosper_byte	6	6
36	4	9558.469996565429	9440.3774574363633	9528.0511801599077	-1.235475	-0.318239	gosper_byte	2	0
37	4	9199.481745099394	9188.732490159086	9282.487921367758	-0.116846	0.902292	gosper_byte	2	0
38	2	2885.2408796237446	2887.3647547034916	2940.6970888030887	0.073612	1.922065	current	1	1
39	2	4409.5691690304702	4333.3105503423785	4389.9128029002095	-1.729389	-0.445766	gosper_byte	1	1
40	1	433.04511603283532	405.79681768932227	454.26944948170575	-6.292254	4.901183	gosper_byte	1	1
41	2	1429.0994720690426	1397.0758336688752	1452.279777064334	-2.240826	1.622022	gosper_byte	1	1
42	2	1246.2438109884727	1204.866267458535	1265.9560870935054	-3.320180	1.581735	gosper_byte	1	1
43	2	1314.430651407308	1282.8930449003658	1356.298699537931	-2.399336	3.185261	gosper_byte	2	0
44	2	1425.1568944632995	1395.0461132368266	1452.9605448811469	-2.112805	1.950919	gosper_byte	1	1
48	15	87256697.4	87586855.6	87540043.19999999	0.378376	0.324727	current	1	1
49	16	383215.5523203014	399106.1860604548	386066.02974647505	4.146657	0.743831	current	8	0
50	18	98170715.325	98224455.925	97757161.2	0.054742	-0.421260	adaptive	68	68
51	20	4257995.662116211	1436457.1831019223	1390200.3679191873	-66.264475	-67.350827	adaptive	20	1
52	21	812544532.0	821446174.75	821116997.5	1.095527	1.055015	current	1	1
53	23	66414097.76190476	70874092.08333334	44374815.15	6.715433	-33.184645	adaptive	12	7
54	24	291950462.75	303039543.5	248984120.5	3.798275	-14.716997	adaptive	23	11
