matrix_id,candidate_id,vector,support,support_size,extended_support,extended_support_size,multiplier,is_ess,reason_ess,payoff,payoff_double
1,1,"1/2,1/2",3,2,3,2,,True,T_pd_dbl,1/2,0.5
2,1,"1,0",1,1,1,1,,True,T_pure_ess,3,3.0
2,2,"0,1",2,1,2,1,,True,T_pure_ess,4,4.0
3,1,"3/8,5/8,0",3,2,3,2,,True,T_pd_dbl,89/16,5.5625
4,1,"0,0,1",4,1,7,3,,False,F_not_copos,1,1.0
4,2,"1/2,1/2,0",3,2,3,2,,True,T_pd_dbl,3/2,1.5
5,1,"1/2,0,1/2",5,2,7,3,,False,F_not_pd_kay_0_1,1/4,0.25
5,2,"0,1/2,1/2",6,2,7,3,,False,F_not_pd_kay_0_1,1/4,0.25
6,1,"1/2,1/2,0",3,2,7,3,,False,F_not_pd_kay_0_1,1,1.0
6,2,"0,5/11,6/11",6,2,6,2,,True,T_pd_dbl,18/11,1.636364
7,1,"0,0,1,0",4,1,7,3,,False,F_not_copos,0,0.0
7,2,"0,0,0,1",8,1,11,3,,False,F_not_copos,0,0.0
7,3,"1/2,1/2,0,0",3,2,15,4,,False,F_not_copos,0,0.0
8,1,"3/11,3/11,0,5/11,0",11,3,11,3,5,True,T_pd_dbl,18/11,1.636364
9,1,"1/2,0,1/2,0,0",5,2,5,2,,True,T_pd_dbl,3/2,1.5
9,2,"0,1/2,1/2,0,0",6,2,6,2,,True,T_pd_dbl,3/2,1.5
9,3,"1/2,0,0,1/2,0",9,2,9,2,,True,T_pd_dbl,3/2,1.5
9,4,"0,1/2,0,1/2,0",10,2,10,2,,True,T_pd_dbl,3/2,1.5
9,5,"1/2,0,0,0,1/2",17,2,17,2,,True,T_pd_dbl,3/2,1.5
9,6,"0,1/2,0,0,1/2",18,2,18,2,,True,T_pd_dbl,3/2,1.5
10,1,"1/2,1/2,0,0,0,0",3,2,3,2,6,True,T_pd_dbl,1/2,0.5
10,2,"1/2,0,0,1/2,0,0",9,2,9,2,3,True,T_pd_dbl,1/2,0.5
11,1,"8/31,8/31,0,0,15/31,0,0",19,3,19,3,7,True,T_pd_dbl,128/31,4.129032
11,2,"5/12,0,1/6,0,5/12,0,0",21,3,21,3,7,True,T_pd_dbl,25/6,4.166667
12,1,"8/19,3/19,8/19,0,0,0,0",7,3,7,3,7,True,T_pd_dbl,128/19,6.736842
12,2,"13/50,0,12/25,0,13/50,0,0",21,3,21,3,7,True,T_pd_dbl,169/25,6.76
13,1,"77/312,23/312,77/312,0,0,45/104,0,0",39,4,39,4,8,True,T_pd_dbl,2255/312,7.227564
13,2,"13/36,0,5/36,5/36,0,13/36,0,0",45,4,45,4,8,True,T_pd_dbl,259/36,7.194444
13,3,"1/4,1/4,0,0,1/4,1/4,0,0",51,4,51,4,4,True,T_pd_dbl,29/4,7.25
14,1,"13/51,13/51,0,0,0,25/51,0,0,0",35,3,35,3,9,True,T_pd_dbl,338/51,6.627451
14,2,"20/49,0,13/98,0,0,45/98,0,0,0",37,3,37,3,18,True,T_pd_dbl,325/49,6.632653
14,3,"1/3,0,0,1/3,0,0,1/3,0,0",73,3,73,3,3,True,T_pd_dbl,20/3,6.666667
15,1,"19/52,7/52,7/52,19/52,0,0,0,0,0,0",15,4,15,4,10,True,T_pd_dbl,699/52,13.442308
15,2,"31/140,0,39/140,39/140,0,31/140,0,0,0,0",45,4,45,4,10,True,T_pd_dbl,1871/140,13.364286
15,3,"1263/4612,119/4612,0,2103/4612,0,0,1127/4612,0,0,0",75,4,75,4,20,True,T_pd_dbl,62011/4612,13.445577
15,4,"7/52,7/52,0,0,19/52,0,0,19/52,0,0",147,4,147,4,10,True,T_pd_dbl,699/52,13.442308
16,1,"18/97,23/194,0,15/97,0,47/194,0,0,29/97,0,0",299,5,299,5,22,True,T_pd_dbl,393/97,4.051546
16,2,"54/217,0,23/217,23/217,0,54/217,0,0,9/31,0,0",301,5,301,5,11,True,T_pd_dbl,878/217,4.046083
16,3,"6/53,12/53,0,0,12/53,6/53,0,0,17/53,0,0",307,5,307,5,11,True,T_pd_dbl,216/53,4.075472
16,4,"13/77,13/77,0,0,23/77,0,5/77,0,23/77,0,0",339,5,339,5,11,True,T_pd_dbl,314/77,4.077922
16,5,"16/59,0,6/59,0,15/59,0,6/59,0,16/59,0,0",341,5,341,5,11,True,T_pd_dbl,240/59,4.067797
17,1,"1500/5999,2999/5999,1500/5999,0,0,0,0,0,0,0,0",7,3,7,3,11,True,T_pd_dbl,45000/5999,7.50125
17,2,"980/2053,1023/2053,0,0,50/2053,0,0,0,0,0,0",19,3,19,3,22,True,T_pd_dbl,15400/2053,7.501218
17,3,"38/77,38/77,0,0,0,0,1/77,0,0,0,0",67,3,67,3,11,True,T_pd_dbl,2888/385,7.501299
17,4,"35/121,0,0,51/121,0,0,35/121,0,0,0,0",73,3,73,3,11,True,T_pd_dbl,980/121,8.099174
18,1,"59/443,325/886,325/886,59/443,0,0,0,0,0,0,0,0",15,4,15,4,12,True,T_pd_dbl,250043/886,282.215576
18,2,"1129413/5201954,2379963/5201954,1488733/5201954,0,0,203845/5201954,0,0,0,0,0,0",39,4,39,4,24,True,T_pd_dbl,1468244483/5201954,282.248648
18,3,"141/668,193/668,0,0,193/668,141/668,0,0,0,0,0,0",51,4,51,4,12,True,T_pd_dbl,47102/167,282.047904
18,4,"41499/165014,77113/165014,41499/165014,0,0,0,0,4903/165014,0,0,0,0",135,4,135,4,12,True,T_pd_dbl,46576665/165014,282.258869
18,5,"29645073/88515806,34973353/88515806,0,0,7357931/44257903,0,0,4590759/44257903,0,0,0,0",147,4,147,4,24,True,T_pd_dbl,24977779007/88515806,282.184393
18,6,"15/143,0,0,113/286,113/286,0,0,15/143,0,0,0,0",153,4,153,4,12,True,T_pd_dbl,80719/286,282.234266
18,7,"1/4,1/4,0,0,0,0,1/4,1/4,0,0,0,0",195,4,195,4,6,True,T_pd_dbl,282,282.0
18,8,"1/4,0,0,1/4,0,0,1/4,0,0,1/4,0,0",585,4,585,4,3,True,T_pd_dbl,1129/4,282.25
19,1,"25/187,137/374,137/374,25/187,0,0,0,0,0,0,0,0",15,4,15,4,12,True,T_pd_dbl,56169/374,150.184492
19,2,"5000/19931,18631/39862,5000/19931,0,0,0,0,1231/39862,0,0,0,0",135,4,2735,8,12,False,F_not_copos,2993100/19931,150.173097
